,name,website,type
0,24 Hour Fitness,https://www.24hourfitness.com/Website/Club/214?Adb_id=GGL_LOC_ACQ_CDP,generic
1,24/7 Fitness,https://join.tbtgym.com/,generic
2,254 Fitness,http://254fitness.com/,generic
3,360 Fitness,https://www.360fitnessonline.com/,generic
4,365 Physique,http://www.365physique.com/,generic
5,3rd Coast Movement Fitness Center,http://3rdcoastmovement.com/,generic
6,4 Infinite Life,https://4infinitelife.com/,upscale
7,9Round,https://www.9round.com/CollegeStationTX,generic
8,9Round Corpus Christi,https://www.9round.com/corpus-christi-staples,generic
9,9Round Fitness,https://www.9round.com/leander-south-bagdad,generic
10,9Round Hurst,https://www.9round.com/HurstTXAirportFreeway,generic
11,9Round Kickboxing,https://www.9round.com/WStateHwy46NewBraunfelsTX,generic
12,9Round Kickboxing Fitness,https://www.9round.com/SDentonTapRdCoppellTX,generic
13,9Round TCU,https://www.9round.com/locations/tx,generic
14,Absolute Iron,http://absoluteirongym.net/,generic
15,Addison Athletic Club,https://addisontexas.net/parksrec/athletic-club,generic
16,Affinity Fitness,http://affinityfitnessrockwall.com/,generic
17,AIM Athletics Gymnastics,http://www.aimathleticstexas.com/,upscale
18,Aldo's Strength & Conditioning,http://www.coachaldo.com/,generic
19,ALIO Fitness Club,http://www.aliofitnessclubs.com/,generic
20,All Day Training,http://www.alldaytraining.net/,upscale
21,Alliance Cheer Elite,http://www.alliancecheerelite.com/,generic
22,Alpha Aesthetics,http://alphaaestheticstraining.com/,generic
23,Alpha Fitness,,generic
24,Alpha Life Enterprise,,generic
25,Alpha Strength and Conditioning,http://alphaprojectdallas.com/,generic
26,Alphalete Gym,https://alphalandstore.com/,upscale
27,Alphastetic Competitors,https://alphasteticcompetitors.com/,generic
28,Amarillo Town Club,http://www.amarillotownclub.com/,generic
29,AMP Fitness Studio,https://www.dfwamp.com/,generic
30,Angry Bee CrossFit,http://angrybeeplano.com/,upscale
31,Antioch Sports Complex & Community Center,,generic
32,Anytime Fitness,https://www.anytimefitness.com/gyms/3565/amarillo-tx-79110/?utm_source=google,generic
33,Anytime Fitness Joe Battle,https://www.anytimefitness.com/gyms/4995/el-paso-tx-79936/,generic
34,Anytime Fitness Montwood,https://www.anytimefitness.com/gyms/2334/el-paso-tx-79936/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal-maps%26utm_campaign%3Dgbp-listing%26utm_content%3D2334,generic
35,AOA Boxing,http://www.aoaroundrockboxing.org/,generic
36,APE Fitness and Performance,http://apefitnessteam.com/,generic
37,APEC,http://www.teamapec.com/,generic
38,APEC Fort Worth,http://www.apecfw.com/,generic
39,Apexintensity Gym,https://apexintensity.com/pages/apexintensity-24hr-gym,upscale
40,Applied Functional Fitness Center,https://hood.armymwr.com/programs/fitness-center,upscale
41,Arri Fitness,,generic
42,Athena Strength,,generic
43,Athletic Empire Gym,http://www.athleticempiregym.com/,generic
44,Athletic Outcomes,http://www.athleticoutcomes.com/,upscale
45,Athletic Zone,https://www.athleticzone214.com/,generic
46,Atomic Athlete,http://atomic-athlete.com/?utm_source=GMB,generic
47,Atomic Outpost,https://atomicoutpostnorthaustin.com/,upscale
48,Attaway Gym,http://attawaygym.com/,generic
49,Austin Simply Fit,https://www.austinsimplyfit.com/?utm_campaign=gmb-south,upscale
50,AWARD Winning Fitness,https://www.awardwinningfitness.com/,upscale
51,Axial Fitness,http://axialfitnessgym.com/,upscale
52,B-FIT,https://www.bfittyler.com/,generic
53,BaB In Home Personal Training,http://www.babpersonaltraining.com/,generic
54,Bar 10 CrossFit,http://www.bar10crossfit.com/,upscale
55,Barbara Bauer Briggs Family YMCA,https://ymcagoldencrescent.org/barbara-bauer-briggs-family/,generic
56,Barry's,https://www.barrys.com/studio/austin,upscale
57,Battle Axe Barbell,http://www.battleaxebarbell.com/,generic
58,Battle Wolf Community Fitness,http://www.battlewolfcf.com/,upscale
59,Baytown Gainz Gym,https://baytown-gainz-gym.business.site/,generic
60,BB-Fitness,http://www.balancedbworks.com/,generic
61,BC-FIT,https://bcfitstudios.com/,upscale
62,BCS Fitness,http://www.bcsfitness.com/,generic
63,Be Fit Gym,http://befitgymhtx.com/,generic
64,Beast Gym,https://beastgymsa.com/,generic
65,Beatbodyz,https://www.beatbodyz.com/,generic
66,BEFIT,http://befitkilleen.com/,upscale
67,Behavior & Performance Research,https://bpr.institute/,upscale
68,Believe Fitness,https://believefitnesstx.org/,upscale
69,Believe HTX Gym,,generic
70,Bell's Life Enhancement,https://www.bellslifeenhancement.com/,upscale
71,Ben Garza Gymnasium,https://www.cctexas.com/parks/services/general-government/parks-recreation-facilities,generic
72,Beyond Fitness Center,http://www.triangletherapeutics.com/,generic
73,BEYOND Studios,https://www.thebeyondstudios.com/locations/frisco-beyond500/,upscale
74,Big Tex Gym,http://www.bigtexgym.com/,generic
75,Bio-Dynamic Athletics,https://www.biodynamicathletics.com/,generic
76,Blackstar Kickboxing,https://m.facebook.com/Blackstar-Kickboxing-MMA-246363109746781/,generic
77,Blazing Boxing Gym,,generic
78,Blink Fitness,https://locations.blinkfitness.com/tx/dallas-fort-worth/7410-n-beach-st,generic
79,Blu Fitness,http://blufitness.net/,generic
80,BLUSH Boot Camp,http://www.blushbootcamp.com/,generic
81,BMF Fitness,http://www.bmf-fitness.com/,generic
82,Bodies By Adam,https://www.bodiesbyadam.com/,generic
83,Bodies By Design Personal Training,http://bbdforlife.com/,generic
84,Bodify Functional Fitness,https://www.bodifyfitness.com/,generic
85,Body Armor CrossFit,https://www.bodyarmorsa.com/,upscale
86,Body By Blair,http://www.blairthetrainer.com/,generic
87,Body By Brody,https://body-by-brody.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,generic
88,Body Fit Training,https://www.bodyfittraining.com/location/mckinney,generic
89,Body Gym,http://bodygymtx.com/,generic
90,Body Machine Fitness,https://www.bodymachinefitness.com/,generic
91,Body Mountain,http://bodymountain.com/,generic
92,Body Shop Gym,,generic
93,Body Workz,http://www.bodyworkz.org/,upscale
94,BODY20,https://body20.com/aggieland,generic
95,Bodyhack Labs,https://bodyhacklabs.com/,generic
96,BodyWise Gym,http://www.bodywisegym.com/,generic
97,Bodyworks Red Zone,,generic
98,Bodyworkz Health Club,http://bodyworkz.org/,upscale
99,Bombshell CrossFit,http://bombshellcrossfit.com/,upscale
100,Booker T's Gym Arena,https://www.realityofwrestling.com/booker-t-world-gym-arena/,
101,Bossletics Gym,http://www.bossleticsgym.com/,
102,Boxing Pride Fitness,,
103,Brazos Valley Barbell,https://brazosvalleybarbell.com/,
104,Breach Fitness,http://breachfit.com/,
105,Break A Sweat Fitness Center,https://break-a-sweat-fitness-center.business.site/,
106,Breakthrough Fitness,https://breakthrough-fitness-personal-trainer.business.site/?utm_source=gmb,
107,BTF Personal Training,http://www.bodytemplefitness.info/,
108,BullittTeam,https://www.thebullittexperience.com/,
109,BungeeONE Studios,https://bungeeonestudios.com/,
